reaction,split,high_yielding,not_high_yielding
C1=CO[CH]=C1.COC1=C(O[CH3])O[CH2][CH2]1>>[CH3]O[CH]1[CH2][CH2][CH](O[CH3])O1,train,0,1
C=O.[CH3][CH2]C1=N[CH2][CH2]O1>O>[CH3][CH]([CH2][OH])C1=N[CH2][CH2]O1,train,1,0
O=C(Cl)[CH2][CH2][CH2]Cl.[NH2][CH2]/C=C\[CH2]OC1=N[CH]=[CH]C([CH2]N2[CH2][CH2][CH2][CH2][CH2]2)=[CH]1>>O=C([CH2][CH2][CH2]Cl)[NH][CH2]/C=C\[CH2]OC1=N[CH]=[CH]C([CH2]N2[CH2][CH2][CH2][CH2][CH2]2)=[CH]1,train,1,0
Br[CH2][CH2][CH2][CH2][CH2][CH2]Br.[OH][CH2]C1=[CH][CH]=[CH][CH]=[CH]1>>Br[CH2][CH2][CH2][CH2][CH2][CH2]O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,train,0,1
N#C[CH2]C1=[CH][CH]=[CH][CH]=[CH]1.O=[CH]C1=[CH][CH]=[CH][CH]=[CH]1>>N#C[CH](C1=[CH][CH]=[CH][CH]=[CH]1)[CH]([OH])C1=[CH][CH]=[CH][CH]=[CH]1,train,0,1
[CH3]OC1=C(O[CH3])[CH]=C([CH]2[CH2][CH2]N(C3=C([CH3])C4=C(OC([CH3])([CH3])[CH]4O)C([CH3])=C3[CH3])[CH2][CH2]2)[CH]=[CH]1.[NH2][CH2]C1=[CH][CH]=[CH][CH]=[CH]1>>[CH3]OC1=C(O[CH3])[CH]=C([CH]2[CH2][CH2]N(C3=C([CH3])C4=C(OC([CH3])([CH3])[CH]4[NH][CH2]C4=[CH][CH]=[CH][CH]=[CH]4)C([CH3])=C3[CH3])[CH2][CH2]2)[CH]=[CH]1,train,1,0
[CH3]C(=O)[CH2]C([CH3])=O.[NH2]C([NH2])=[CH][N+](=O)[O-]>>[CH3]C1=[CH]C([CH3])=C([N+](=O)[O-])C([NH2])=N1,train,0,1
Br[CH](C1=[CH][CH]=[CH][CH]=[CH]1)C1=[CH][CH]=[CH][CH]=[CH]1.[OH][CH2][CH2][CH2]N1[CH2][CH2][NH][CH2][CH2]1>>[OH][CH2][CH2][CH2]N1[CH2][CH2]N([CH](C2=[CH][CH]=[CH][CH]=[CH]2)C2=[CH][CH]=[CH][CH]=[CH]2)[CH2][CH2]1,train,1,0
[CH3]OC1=[CH][CH]=C(C(=O)[CH]([OH])C2=[CH][CH]=C(O[CH3])[CH]=[CH]2)[CH]=[CH]1.[CH]1=[CH]O[CH2][CH2][CH2]1>C1=CC=CC=C1>[CH3]OC1=[CH][CH]=C(C(=O)[CH](O[CH]2[CH2][CH2][CH2][CH2]O2)C2=[CH][CH]=C(O[CH3])[CH]=[CH]2)[CH]=[CH]1,train,1,0
OB(O)C1=C(F)C(F)=C(O[CH2][CH2][CH2][CH2][CH2][CH2]C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[CH]=[CH]1.[CH3][CH2]OC(=O)C1=[CH][CH]=C(C2=C(F)C(F)=C(OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C2)[CH]=[CH]1>>[CH3][CH2]OC(=O)C1=[CH][CH]=C(C2=C(F)C(F)=C(O[CH2][CH2][CH2][CH2][CH2][CH2]C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[CH]=[CH]2)[CH]=[CH]1,train,1,0
CC(=O)C1=C(C)C=C([CH](C)O)C=C1.[CH3]C1=C(C(=O)[CH2]Br)[CH]=[CH]C([CH2][OH])=[CH]1>>[CH3]C1=C(C(=O)[CH2]Br)[CH]=[CH]C([CH]([CH3])[OH])=[CH]1,train,1,0
[CH3]C(=O)N1[CH2][CH2][NH][CH2][CH2]1.[CH3][CH2]OC(=O)[CH](Br)C1=[CH][CH]=[CH]N=[CH]1>>[CH3][CH2]OC(=O)[CH](C1=[CH][CH]=[CH]N=[CH]1)N1[CH2][CH2]N(C([CH3])=O)[CH2][CH2]1,train,0,1
O=[CH]C1=[CH][CH]=[CH][CH]=[CH]1.[CH3][CH2]OC(=O)[CH2][CH3]>>[CH3][CH2]OC(=O)[CH]([CH3])[CH]([OH])C1=[CH][CH]=[CH][CH]=[CH]1,train,1,0
N#C[CH2]C1=[CH][CH]=[CH][CH]=[CH]1.[CH3]C([CH3])([CH3])[CH]=O>>[CH3]C([CH3])([CH3])[CH]([OH])[CH](C#N)C1=[CH][CH]=[CH][CH]=[CH]1,train,1,0
[CH3]N1C2=C([CH]=[CH][CH]=[CH]2)C2=C1C([CH3])([CH]=O)[CH2][CH2]S2.[CH3][NH2]>>[CH3][NH][CH2]C1([CH3])[CH2][CH2]SC2=C1N([CH3])C1=C2[CH]=[CH][CH]=[CH]1,train,1,0
CCNC1=C(N)C(Cl)=C(C(=O)OCC)C(C)=N1.[CH3][CH2][CH2][CH2][NH]C1=C([NH2])C(Cl)=C(C(=O)O[CH2][CH3])C([CH3])=N1>>[CH3][CH2][CH2][CH2]N1[CH]=NC2=C(Cl)C(C(=O)O[CH2][CH3])=C([CH3])N=C21,train,1,0
C=[CH]C(=C)Cl.[CH3]OC(=O)C#CC(=O)O[CH3]>>[CH3]OC(=O)C1=C(C(=O)O[CH3])[CH2]C(Cl)=[CH][CH2]1,train,1,0
CN(C)[CH2][CH2][NH]C(=O)[CH]([OH])[C@H]1O[C@@H](N2[CH]=NC3=C2N=[CH]N=C3[NH2])[C@H]([OH])[C@@H]1[OH].CN([CH3])CCN>>C=[CH][CH2][NH]C(=O)[CH]([OH])[C@H]1O[C@@H](N2[CH]=NC3=C2N=[CH]N=C3[NH2])[C@H]([OH])[C@@H]1[OH],train,1,0
[CH3]C([CH3])([CH3])OC(=O)N1[CH2]C(=O)[CH2][C@H]1C(=O)[OH].[CH3]OC1=[CH][CH]=C([CH2]O[NH2])[CH]=[CH]1>>[CH3]OC1=[CH][CH]=C([CH2]ON=C2[CH2][C@@H](C(=O)[OH])N(C(=O)OC([CH3])([CH3])[CH3])[CH2]2)[CH]=[CH]1,train,1,0
[CH3]OC1=[CH]C2=C([CH]=[CH]1)N([CH2][CH2][OH])C1=C2[CH]2C(=O)[NH]C(=O)[CH]2[CH](C2=C(Cl)[CH]=[CH][CH]=[CH]2)[CH2]1>O=[Mn]=O>[CH3]OC1=[CH]C2=C([CH]=[CH]1)N([CH2][CH2][OH])C1=C2C2=C(C(=O)[NH]C2=O)C(C2=C(Cl)[CH]=[CH][CH]=[CH]2)=[CH]1,train,1,0
O=C1[CH2]OC(=O)[NH]1.[CH3]C1=C([CH2][CH2]OC2=[CH][CH]=C(/C=C/C=C/C=O)[CH]=[CH]2)N=C(C2=[CH][CH]=[CH][CH]=[CH]2)O1>>[CH3]C1=C([CH2][CH2]OC2=[CH][CH]=C([CH]=[CH][CH]=[CH][CH]=C3OC(=O)[NH]C3=O)[CH]=[CH]2)N=C(C2=[CH][CH]=[CH][CH]=[CH]2)O1,train,0,1
C#CC1=[CH][CH]=C([CH3])[CH]=[CH]1.[NH2]C1=C(I)[CH]=[CH][CH]=[CH]1>>[CH3]C1=[CH][CH]=C(C2=[CH]C3=[CH][CH]=[CH][CH]=C3[NH]2)[CH]=[CH]1,train,1,0
[CH3]C1=[CH][CH]=C([C@@H]2C3=C(OC2([CH3])[CH3])C([CH3])=C([CH3])C(N2C(=O)[CH2][CH](C4=[CH][CH]=C(F)[CH]=[CH]4)[CH2]C2=O)=C3[CH3])[CH]=[CH]1>CCCCCC>[CH3]C1=[CH][CH]=C([C@@H]2C3=C(OC2([CH3])[CH3])C([CH3])=C([CH3])C(N2[CH2][CH2][CH](C4=[CH][CH]=C(F)[CH]=[CH]4)[CH2][CH2]2)=C3[CH3])[CH]=[CH]1,train,1,0
O=C1[CH2][CH2][CH2][CH2][CH2]1.[CH3][CH]([CH3])[CH2][CH2][CH2][CH]([NH2])C1=NC(C2=[CH]C(Br)=[CH][CH]=[CH]2)=[CH][NH]1>>[CH3][CH]([CH3])[CH2][CH2][CH2][CH]([NH][CH]1[CH2][CH2][CH2][CH2][CH2]1)C1=NC(C2=[CH]C(Br)=[CH][CH]=[CH]2)=[CH][NH]1,train,0,1
BrC1=CC=C(Br)C2=NN(C3=CC=NC=C3)N=C12.O=[N+]([O-])C1=[CH][CH]=C(N2N=C3C(Br)=[CH][CH]=C(Br)C3=N2)[CH]=[CH]1>>O=[N+]([O-])C1=[CH][CH]=C(N2N=C3[CH]=[CH][CH]=[CH]C3=N2)[CH]=[CH]1,train,0,1
[CH3][CH2]OC(=O)C(=O)[CH2]Br.[NH2]C1=N[CH]=[CH]N=[CH]1>>[CH3][CH2]OC(=O)C1=[CH]N2[CH]=[CH]N=[CH]C2=N1,train,0,1
FC(F)(F)C1=NN=C2[CH]=[CH]C(N3[CH2][C@H]4[CH2][CH2][C@@H]([CH2]3)[NH]4)=NN21.O=[CH]C1=[CH][CH]=[CH]N=[CH]1>>FC(F)(F)C1=NN=C2[CH]=[CH]C(N3[CH2][C@H]4[CH2][CH2][C@@H]([CH2]3)N4[CH2]C3=[CH][CH]=[CH]N=[CH]3)=NN21,train,0,1
CC(=O)NC1=C(C)C=C([N+](=O)[O-])C=C1.CC(=O)[NH]C1=C([CH3])[CH]=[CH][CH]=C1[N+](=O)[O-]>>[CH3]C1=C([NH2])C([N+](=O)[O-])=[CH][CH]=[CH]1,train,0,1
C[CH2][Mg]Br.[CH3][CH2][CH2][CH2]C1=NC(C([CH3])=O)=C(C#N)[NH]1>>[CH3][CH2][CH2][CH2]C1=NC(C(=O)[CH2][CH3])=C(C#N)[NH]1,train,0,1
CN(C)C(=O)C(=O)C1=CNC2=CC(OCC3=CC=CC=C3)=C(F)C=C21.[CH3]N([CH3])[CH2][CH2]C1=[CH][NH]C2=[CH][CH]=C(F)C(O[CH2]C3=[CH][CH]=[CH][CH]=[CH]3)=C12>>[CH3]N([CH3])[CH2][CH2]C1=[CH][NH]C2=[CH]C(O[CH2]C3=[CH][CH]=[CH][CH]=[CH]3)=C(F)[CH]=C12,train,1,0
CC(C)(C)CO[CH](OCC(C)(C)C)N([CH3])[CH3].[CH3][CH2]OC(=O)C1=C(C(=O)O[CH2][CH3])[NH]C(=O)C(C([CH3])=O)=[CH]1>>[CH3][CH2]OC(=O)C1=C(C(=O)O[CH2][CH3])[NH]C(=O)C(C(=O)[CH]=[CH]N([CH3])[CH3])=[CH]1,train,1,0
