sentences,split,not_high_yielding,high_yielding
"Furan and 4,5-dimethoxy-2,3-dihydrofuran react together to produce 2,5-dimethoxyoxolane.",train,1,0
"Formaldehyde and 2-ethyl-4,5-dihydro-1,3-oxazole react together in the presence of oxidane to produce 2-(4,5-dihydro-1,3-oxazol-2-yl)propan-1-ol.",train,0,1
4-chlorobutanoyl chloride and (z)-4-[4-(piperidin-1-ylmethyl)pyridin-2-yl]oxybut-2-en-1-amine react together to produce 4-chloro-n-[(z)-4-[4-(piperidin-1-ylmethyl)pyridin-2-yl]oxybut-2-enyl]butanamide.,train,0,1
"1,6-dibromohexane and phenylmethanol react together to produce 6-bromohexoxymethylbenzene.",train,1,0
"2-phenylacetonitrile and benzaldehyde react together to produce 3-hydroxy-2,3-diphenylpropanenitrile.",train,1,0
"5-[4-(3,4-dimethoxyphenyl)piperidin-1-yl]-2,2,4,6,7-pentamethyl-3h-1-benzofuran-3-ol and phenylmethanamine react together to produce n-benzyl-5-[4-(3,4-dimethoxyphenyl)piperidin-1-yl]-2,2,4,6,7-pentamethyl-3h-1-benzofuran-3-amine.",train,0,1
"Pentane-2,4-dione and 2-nitroethene-1,1-diamine react together to produce 4,6-dimethyl-3-nitropyridin-2-amine.",train,1,0
[bromo(phenyl)methyl]benzene and 3-piperazin-1-ylpropan-1-ol react together to produce 3-(4-benzhydrylpiperazin-1-yl)propan-1-ol.,train,0,1
"2-hydroxy-1,2-bis(4-methoxyphenyl)ethanone and 3,4-dihydro-2h-pyran react together in the presence of benzene to produce 1,2-bis(4-methoxyphenyl)-2-(oxan-2-yloxy)ethanone.",train,0,1
"[2,3-difluoro-4-(7,7,8,8,9,9,10,10,10-nonafluorodecoxy)phenyl]boronic acid and ethyl 4-[2,3-difluoro-4-(5,5,6,6,7,7,8,8,8-nonafluorooctoxy)phenyl]benzoate react together to produce ethyl 4-[2,3-difluoro-4-(7,7,8,8,9,9,10,10,10-nonafluorodecoxy)phenyl]benzoate.",train,0,1
1-[4-(1-hydroxyethyl)-2-methylphenyl]ethanone and 2-bromo-1-[4-(hydroxymethyl)-2-methylphenyl]ethanone react together to produce 2-bromo-1-[4-(1-hydroxyethyl)-2-methylphenyl]ethanone.,train,0,1
1-piperazin-1-ylethanone and ethyl 2-bromo-2-pyridin-3-ylacetate react together to produce ethyl 2-(4-acetylpiperazin-1-yl)-2-pyridin-3-ylacetate.,train,1,0
Benzaldehyde and ethyl propanoate react together to produce ethyl 3-hydroxy-2-methyl-3-phenylpropanoate.,train,0,1
"2-phenylacetonitrile and 2,2-dimethylpropanal react together to produce 3-hydroxy-4,4-dimethyl-2-phenylpentanenitrile.",train,0,1
"4,5-dimethyl-2,3-dihydrothiopyrano[3,2-b]indole-4-carbaldehyde and methanamine react together to produce 1-(4,5-dimethyl-2,3-dihydrothiopyrano[3,2-b]indol-4-yl)-n-methylmethanamine.",train,0,1
"Ethyl 5-amino-4-chloro-6-(ethylamino)-2-methylpyridine-3-carboxylate and ethyl 5-amino-6-(butylamino)-4-chloro-2-methylpyridine-3-carboxylate react together to produce ethyl 3-butyl-7-chloro-5-methylimidazo[4,5-b]pyridine-6-carboxylate.",train,0,1
"2-chlorobuta-1,3-diene and dimethyl but-2-ynedioate react together to produce dimethyl 4-chlorocyclohexa-1,4-diene-1,2-dicarboxylate.",train,0,1
"2-[(2s,3s,4r,5r)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]-n-[2-(dimethylamino)ethyl]-2-hydroxyacetamide and n',n'-dimethylethane-1,2-diamine react together to produce 2-[(2s,3s,4r,5r)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]-2-hydroxy-n-prop-2-enylacetamide.",train,0,1
(2s)-1-[(2-methylpropan-2-yl)oxycarbonyl]-4-oxopyrrolidine-2-carboxylic acid and o-[(4-methoxyphenyl)methyl]hydroxylamine react together to produce (2s)-4-[(4-methoxyphenyl)methoxyimino]-1-[(2-methylpropan-2-yl)oxycarbonyl]pyrrolidine-2-carboxylic acid.,train,0,1
"4-(2-chlorophenyl)-6-(2-hydroxyethyl)-9-methoxy-3a,4,5,10c-tetrahydropyrrolo[3,4-c]carbazole-1,3-dione reacts in the presence of dioxomanganese to produce 4-(2-chlorophenyl)-6-(2-hydroxyethyl)-9-methoxypyrrolo[3,4-c]carbazole-1,3-dione.",train,0,1
"1,3-oxazolidine-2,4-dione and (2e,4e)-5-[4-[2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]penta-2,4-dienal react together to produce 5-[5-[4-[2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]penta-2,4-dienylidene]-1,3-oxazolidine-2,4-dione.",train,1,0
1-ethynyl-4-methylbenzene and 2-iodoaniline react together to produce 2-(4-methylphenyl)-1h-indole.,train,0,1
"4-(4-fluorophenyl)-1-[(3r)-2,2,4,6,7-pentamethyl-3-(4-methylphenyl)-3h-1-benzofuran-5-yl]piperidine-2,6-dione reacts in the presence of hexane to produce 4-(4-fluorophenyl)-1-[(3r)-2,2,4,6,7-pentamethyl-3-(4-methylphenyl)-3h-1-benzofuran-5-yl]piperidine.",train,0,1
Cyclohexanone and 1-[5-(3-bromophenyl)-1h-imidazol-2-yl]-5-methylhexan-1-amine react together to produce n-[1-[5-(3-bromophenyl)-1h-imidazol-2-yl]-5-methylhexyl]cyclohexanamine.,train,1,0
"4,7-dibromo-2-pyridin-4-ylbenzotriazole and 4,7-dibromo-2-(4-nitrophenyl)benzotriazole react together to produce 2-(4-nitrophenyl)benzotriazole.",train,1,0
"Ethyl 3-bromo-2-oxopropanoate and pyrazin-2-amine react together to produce ethyl imidazo[1,2-a]pyrazine-2-carboxylate.",train,1,0
"6-[(1r,5s)-3,8-diazabicyclo[3.2.1]octan-3-yl]-3-(trifluoromethyl)-[1,2,4]triazolo[4,3-b]pyridazine and pyridine-3-carbaldehyde react together to produce 6-[(1r,5s)-8-(pyridin-3-ylmethyl)-3,8-diazabicyclo[3.2.1]octan-3-yl]-3-(trifluoromethyl)-[1,2,4]triazolo[4,3-b]pyridazine.",train,1,0
N-(2-methyl-4-nitrophenyl)acetamide and n-(2-methyl-6-nitrophenyl)acetamide react together to produce 2-methyl-6-nitroaniline.,train,1,0
Magnesium;ethane;bromide and 5-acetyl-2-butyl-1h-imidazole-4-carbonitrile react together to produce 2-butyl-5-propanoyl-1h-imidazole-4-carbonitrile.,train,1,0
"2-(5-fluoro-6-phenylmethoxy-1h-indol-3-yl)-n,n-dimethyl-2-oxoacetamide and 2-(5-fluoro-4-phenylmethoxy-1h-indol-3-yl)-n,n-dimethylethanamine react together to produce 2-(5-fluoro-6-phenylmethoxy-1h-indol-3-yl)-n,n-dimethylethanamine.",train,0,1
"1,1-bis(2,2-dimethylpropoxy)-n,n-dimethylmethanamine and diethyl 5-acetyl-6-oxo-1h-pyridine-2,3-dicarboxylate react together to produce diethyl 5-[3-(dimethylamino)prop-2-enoyl]-6-oxo-1h-pyridine-2,3-dicarboxylate.",train,0,1
"2-(3-fluoroquinoxalin-5-yl)-1,5,6,7-tetrahydropyrrolo[3,2-c]pyridin-4-one and 2,2-dimethylpiperazine react together to produce 2-[3-(3,3-dimethylpiperazin-1-yl)quinoxalin-5-yl]-1,5,6,7-tetrahydropyrrolo[3,2-c]pyridin-4-one.",train,1,0
"Dimethyl carbonate and 5-chloro-2,3-dihydroinden-1-one react together in the presence of benzene, hydride, sodium(1+) to produce methyl 6-chloro-3-oxo-1,2-dihydroindene-2-carboxylate.",train,1,0
"Propanedioic acid and 2-methyl-2,3-dihydro-1-benzofuran-4-carbaldehyde react together to produce (e)-3-(2-methyl-2,3-dihydro-1-benzofuran-4-yl)prop-2-enoic acid.",train,0,1
"2-amino-5-(3-bromophenyl)-5-[4-(difluoromethoxy)phenyl]-3-methylimidazol-4-one and [(e)-6-methoxyhex-1-enyl]boronic acid react together in the presence of 1,2-dimethoxyethane, oxidane, carbonate, potassium(1+), potassium(1+) to produce 2-amino-5-[4-(difluoromethoxy)phenyl]-5-[3-[(e)-6-methoxyhex-1-enyl]phenyl]-3-methylimidazol-4-one.",train,1,0
Piperazine and n-ethyl-4-fluorobenzamide react together to produce n-ethyl-4-piperazin-1-ylbenzamide.,train,0,1
2-phenyloxirane and molecular hydrogen react together to produce 2-phenylethanol.,train,0,1
"(1-acetyloxy-2-methylprop-2-enyl) acetate and 1,2-dimethoxybenzene react together to produce [3-(3,4-dimethoxyphenyl)-2-methylprop-1-enyl] acetate.",train,0,1
2-fluoro-1-(2-fluorophenyl)ethanone and 2-methylpropane-2-sulfinamide react together to produce n-[2-fluoro-1-(2-fluorophenyl)ethylidene]-2-methylpropane-2-sulfinamide.,train,1,0
"Methyl 2-[5-[3-[[2-chloro-3-(trifluoromethyl)phenyl]methyl-[2-(4-methoxyphenyl)propyl]amino]propoxy]cyclohexa-2,4-dien-1-ylidene]acetate and n-[[2-chloro-3-(trifluoromethyl)phenyl]methyl]-4-methyl-2-phenylpentan-1-amine react together to produce methyl 2-[5-[3-[[2-chloro-3-(trifluoromethyl)phenyl]methyl-(4-methyl-2-phenylpentyl)amino]propoxy]cyclohexa-2,4-dien-1-ylidene]acetate.",train,1,0
5-chloropentanoyl chloride and (z)-4-[4-(piperidin-1-ylmethyl)pyridin-2-yl]oxybut-2-en-1-amine react together to produce 5-chloro-n-[(z)-4-[4-(piperidin-1-ylmethyl)pyridin-2-yl]oxybut-2-enyl]pentanamide.,train,0,1
3-(3-chlorophenyl)prop-2-ynal and n-(3-phenylprop-2-ynylidene)hydroxylamine react together to produce n-[3-(3-chlorophenyl)prop-2-ynylidene]hydroxylamine.,train,0,1
Imidazolidin-2-one and 5-[4-[2-(5-bromo-2-fluorophenyl)ethyl]piperazin-1-yl]-2-methylquinoline react together to produce 1-[4-fluoro-3-[2-[4-(2-methylquinolin-5-yl)piperazin-1-yl]ethyl]phenyl]imidazolidin-2-one.,train,1,0
4-aminobutanoic acid and 6-aminohexanoic acid react together to produce 6-amino-2-(3-phenylprop-2-enoyl)hexanoic acid.,train,0,1
1-(4-bromo-3-methylphenyl)ethanol and 1-[4-(hydroxymethyl)-2-methylphenyl]ethanone react together to produce 1-[4-(1-hydroxyethyl)-2-methylphenyl]ethanone.,train,1,0
