smiles,split,high_yielding,not_high_yielding
[CH3][CH]([CH3])OC(=O)Cl.[NH2][NH]C1=N[NH]C2=[CH]C(Cl)=[CH][CH]=C21>C1=CC=NC=C1>[CH3][CH]([CH3])OC(=O)[NH][NH]C1=N[NH]C2=[CH]C(Cl)=[CH][CH]=C21,train,0,1
COC(=O)O[CH3].[CH3]C1=C([N+](=O)[O-])[CH]=C([N+](=O)[O-])[CH]=[CH]1>>[CH3]OC(=O)[NH]C1=[CH]C([NH]C(=O)O[CH3])=C([CH3])[CH]=[CH]1,train,0,1
[CH3][CH2]C(=O)N([CH3])[CH]1[CH2][CH2]N(CC2=CC=CC=C2)[CH2][CH2]1>CCO.[OH-].[OH-].[Pd+2]>[CH3][CH2]C(=O)N([CH3])[CH]1[CH2][CH2][NH][CH2][CH2]1,train,0,1
CCOC(=O)[NH]C1=NC2=[CH]C(Cl)=[CH][CH]=C2N=C1O[CH3].FC1=C(N2[CH2][CH2][NH][CH2][CH2]2)[CH]=[CH][CH]=[CH]1>>[CH3]OC1=NC2=[CH][CH]=C(Cl)[CH]=C2N=C1[NH]C(=O)N1[CH2][CH2]N(C2=C(F)[CH]=[CH][CH]=[CH]2)[CH2][CH2]1,train,1,0
FC1=[CH][CH]=C(C2=[CH][CH]=C3N=[CH]N=C(Cl)C3=[CH]2)[CH]=[CH]1.[CH3][CH2][CH2][CH2][NH2]>>[CH3][CH2][CH2][CH2][NH]C1=N[CH]=NC2=[CH][CH]=C(C3=[CH][CH]=C(F)[CH]=[CH]3)[CH]=C21,train,0,1
[CH3]C1=[CH]C([CH3])=C([CH2][NH]C(=O)C2=[CH]C(C3=[CH][CH2]N(S([CH3])(=O)=O)[CH2][CH2]3)=NC3=C2[CH]=NN3[CH]([CH3])[CH3])C(=O)[NH]1>CCO.[Pd]>[CH3]C1=[CH]C([CH3])=C([CH2][NH]C(=O)C2=[CH]C([CH]3[CH2][CH2]N(S([CH3])(=O)=O)[CH2][CH2]3)=NC3=C2[CH]=NN3[CH]([CH3])[CH3])C(=O)[NH]1,train,0,1
O=[N+]([O-])C1=[CH]C2=C([CH]=[CH]1)[NH]C1=[CH][CH]=[CH][CH]=C1S2>C1CCOC1.CCO.[Pd]>[NH2]C1=[CH]C2=C([CH]=[CH]1)[NH]C1=[CH][CH]=[CH][CH]=C1S2,train,1,0
O=[CH]C1=[CH][CH]=[CH][CH]=[CH]1.[CH3][CH2]OC(=O)[CH]=C([NH2])O[CH2][CH3]>CC(C)O>[CH3][CH2]OC(=O)C1=C([NH2])N=C(O[CH2][CH3])[CH](C(=O)O[CH2][CH3])[CH]1C1=[CH][CH]=[CH][CH]=[CH]1,train,0,1
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O.OC[C@@H]([OH])[C@@H]([OH])[C@H]([OH])[C@@H]([OH])[CH2][OH]>O>O=[CH][C@H]([OH])[C@@H]([OH])[C@H]([OH])[CH2][OH],train,0,1
[CH3][CH2]C1=[CH]C(C2=[CH][CH]=C(S(=O)(=O)Cl)S2)=C([CH3])[NH]C1=O.[NH2][CH2][CH2]N1[CH2][CH2]C(F)(F)[CH2]1>>[CH3][CH2]C1=[CH]C(C2=[CH][CH]=C(S(=O)(=O)[NH][CH2][CH2]N3[CH2][CH2]C(F)(F)[CH2]3)S2)=C([CH3])[NH]C1=O,train,0,1
[CH3][CH]([CH2][CH2][OH])[CH2][CH2]C1=[CH][CH]=[CH][CH]=[CH]1>O.[Ni]>[CH3][CH]([CH2][CH2][OH])[CH2][CH2][CH]1[CH2][CH2][CH2][CH2][CH2]1,train,1,0
[CH3]OC1=C(O[Si]([CH3])([CH3])C([CH3])([CH3])[CH3])[CH]=C([N+](=O)[O-])[CH]=[CH]1.[H][H]>CCOC(C)=O.[Pd]>[CH3]OC1=C(O[Si]([CH3])([CH3])C([CH3])([CH3])[CH3])[CH]=C([NH2])[CH]=[CH]1,train,1,0
C[C@]12CCC(=O)CC1[C@@H](C#N)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12.[CH3]O/N=C1\[CH2][CH]2[CH2][CH2][CH2][CH2][C@]2([CH3])[C@H]2[CH2][CH2][C@@]3([CH3])[C@@H]([CH2]C45OCCOC43OCCO5)[C@H]12>>[CH3]O/N=C1\[CH2][CH]2[CH2]C(=O)[CH2][CH2][C@]2([CH3])[C@H]2[CH2][CH2][C@]3([CH3])C(=O)[CH2][CH2][C@H]3[C@H]12,train,0,1
O=C([CH2]Cl)[CH2]Cl.[NH2]C(=O)C1=[CH]C2=C([CH]=[CH]1)OC(C1=[CH][CH]=[CH][CH]=[CH]1)=N2>>Cl[CH2]C1=[CH]OC(C2=[CH]C3=C([CH]=[CH]2)OC(C2=[CH][CH]=[CH][CH]=[CH]2)=N3)=N1,train,0,1
