reaction,split,not_high_yielding,high_yielding
Propan-2-yl carbonochloridate and (6-chloro-1h-indazol-3-yl)hydrazine react together in the presence of pyridine to produce propan-2-yl n-[(6-chloro-1h-indazol-3-yl)amino]carbamate.,train,1,0
"Dimethyl carbonate and 1-methyl-2,4-dinitrobenzene react together to produce methyl n-[3-(methoxycarbonylamino)-4-methylphenyl]carbamate.",train,1,0
"N-(1-benzylpiperidin-4-yl)-n-methylpropanamide reacts in the presence of ethanol, hydroxide, hydroxide, palladium(2+) to produce n-methyl-n-piperidin-4-ylpropanamide.",train,1,0
Ethyl n-(7-chloro-3-methoxyquinoxalin-2-yl)carbamate and 1-(2-fluorophenyl)piperazine react together to produce n-(7-chloro-3-methoxyquinoxalin-2-yl)-4-(2-fluorophenyl)piperazine-1-carboxamide.,train,0,1
4-chloro-6-(4-fluorophenyl)quinazoline and butan-1-amine react together to produce n-butyl-6-(4-fluorophenyl)quinazolin-4-amine.,train,1,0
"N-[(4,6-dimethyl-2-oxo-1h-pyridin-3-yl)methyl]-6-(1-methylsulfonyl-3,6-dihydro-2h-pyridin-4-yl)-1-propan-2-ylpyrazolo[3,4-b]pyridine-4-carboxamide reacts in the presence of ethanol, palladium to produce n-[(4,6-dimethyl-2-oxo-1h-pyridin-3-yl)methyl]-6-(1-methylsulfonylpiperidin-4-yl)-1-propan-2-ylpyrazolo[3,4-b]pyridine-4-carboxamide.",train,1,0
"3-nitro-10h-phenothiazine reacts in the presence of oxolane, ethanol, palladium to produce 10h-phenothiazin-3-amine.",train,0,1
"Benzaldehyde and ethyl 3-amino-3-ethoxyprop-2-enoate react together in the presence of propan-2-ol to produce diethyl 6-amino-2-ethoxy-4-phenyl-3,4-dihydropyridine-3,5-dicarboxylate.",train,1,0
"(2r,3s,4r,5r)-2,3,4,5,6-pentahydroxyhexanal and (2r,3r,4r,5s)-hexane-1,2,3,4,5,6-hexol react together in the presence of oxidane to produce (2r,3s,4r)-2,3,4,5-tetrahydroxypentanal.",train,1,0
"5-(5-ethyl-2-methyl-6-oxo-1h-pyridin-3-yl)thiophene-2-sulfonyl chloride and 2-(3,3-difluoropyrrolidin-1-yl)ethanamine react together to produce n-[2-(3,3-difluoropyrrolidin-1-yl)ethyl]-5-(5-ethyl-2-methyl-6-oxo-1h-pyridin-3-yl)thiophene-2-sulfonamide.",train,1,0
"3-methyl-5-phenylpentan-1-ol reacts in the presence of oxidane, nickel to produce 5-cyclohexyl-3-methylpentan-1-ol.",train,0,1
"Tert-butyl-(2-methoxy-5-nitrophenoxy)-dimethylsilane and molecular hydrogen react together in the presence of ethyl acetate, palladium to produce 3-[tert-butyl(dimethyl)silyl]oxy-4-methoxyaniline.",train,0,1
"(6s,8r,9s,10r,13s,14s)-10,13-dimethyl-3,17-dioxo-2,4,5,6,7,8,9,11,12,14,15,16-dodecahydro-1h-cyclopenta[a]phenanthrene-6-carbonitrile and (z,2s,5s,6s,14r,15s)-n-methoxy-2,6-dimethyl-18,21,22,25-tetraoxahexacyclo[15.4.4.01,17.02,15.05,14.06,11]pentacosan-13-imine react together to produce (7z,8r,9s,10s,13s,14s)-7-methoxyimino-10,13-dimethyl-1,2,4,5,6,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthrene-3,17-dione.",train,1,0
"1,3-dichloropropan-2-one and 2-phenyl-1,3-benzoxazole-5-carboxamide react together to produce 5-[4-(chloromethyl)-1,3-oxazol-2-yl]-2-phenyl-1,3-benzoxazole.",train,1,0
"Methyl 2-chloro-4-morpholin-4-yl-5,7-dihydropyrrolo[3,4-d]pyrimidine-6-carboxylate and ethyl 2-[2-fluoro-4-(2-fluoroethylcarbamoylamino)phenyl]-4-[(3s)-3-methylmorpholin-4-yl]-5,7-dihydropyrrolo[3,4-d]pyrimidine-6-carboxylate react together to produce methyl 2-[2-fluoro-4-(2-fluoroethylcarbamoylamino)phenyl]-4-morpholin-4-yl-5,7-dihydropyrrolo[3,4-d]pyrimidine-6-carboxylate.",train,1,0
"4-di(propan-2-yloxy)phosphorylaniline and 5,5-dimethyl-2-(3-nitrophenyl)-1,3,2lambda5-dioxaphosphinane 2-oxide react together to produce 3-(5,5-dimethyl-2-oxo-1,3,2lambda5-dioxaphosphinan-2-yl)aniline.",train,1,0
"2-methylbutan-2-amine and 2-bromo-1-(3,4-dichlorophenyl)ethanol react together in the presence of ethanol to produce chlorane.",train,0,1
"(6s,8r,9s,10r,13s,14s)-10,13-dimethyl-3,17-dioxo-2,4,5,6,7,8,9,11,12,14,15,16-dodecahydro-1h-cyclopenta[a]phenanthrene-6-carbonitrile and (2s,5s,6r,11r,12z,14r,15s)-12-hydroxyimino-2,6-dimethyl-18,21,22,25-tetraoxahexacyclo[15.4.4.01,17.02,15.05,14.06,11]pentacosan-11-ol react together to produce (5r,6z,8r,9s,10r,13s,14s)-5-hydroxy-6-hydroxyimino-10,13-dimethyl-2,4,7,8,9,11,12,14,15,16-decahydro-1h-cyclopenta[a]phenanthrene-3,17-dione.",train,0,1
"2-(chloromethyl)-6-methoxy-1,3-benzothiazole and 2,6-difluoro-3-hydroxybenzamide react together to produce 2,6-difluoro-3-[(6-methoxy-1,3-benzothiazol-2-yl)methoxy]benzamide.",train,1,0
Acetic acid and 2-chloro-4-[[5-[(2s)-2-(methylamino)propoxy]quinazolin-4-yl]amino]phenol react together to produce n-[(2s)-1-[4-(3-chloro-4-hydroxyanilino)quinazolin-5-yl]oxypropan-2-yl]-n-methylacetamide.,train,1,0
"Tert-butyl 18-[[3-[(2-methylpropan-2-yl)oxy]-3-oxopropyl]-(2-oxo-2-phenylmethoxyethyl)amino]-18-oxooctadecanoate reacts in the presence of oxolane, ethyl acetate, palladium to produce 2-[[18-[(2-methylpropan-2-yl)oxy]-18-oxooctadecanoyl]-[3-[(2-methylpropan-2-yl)oxy]-3-oxopropyl]amino]acetic acid.",train,0,1
3-hydroxypyran-4-one and propan-2-one react together in the presence of oxidane to produce 3-phenylmethoxypyran-4-one.,train,1,0
"[1-(4-fluorophenyl)pyrazol-4-yl]boronic acid and (4r,5r)-n-[bis(4-methoxyphenyl)-phenylmethyl]-4-(5-bromo-2-fluorophenyl)-5-fluoro-4-methyl-5,6-dihydro-1,3-oxazin-2-amine react together in the presence of triphenylphosphane, triphenylphosphane, triphenylphosphane, triphenylphosphane, palladium to produce (4r,5r)-n-[bis(4-methoxyphenyl)-phenylmethyl]-5-fluoro-4-[2-fluoro-5-[1-(4-fluorophenyl)pyrazol-4-yl]phenyl]-4-methyl-5,6-dihydro-1,3-oxazin-2-amine.",train,0,1
Bromomethylbenzene and (2r)-2-[(2-methylpropan-2-yl)oxycarbonylamino]-3-pyridin-3-ylpropanoic acid react together in the presence of acetonitrile to produce bromane.,test,0,1
"4-benzyl-2-(pyrrolidin-1-ylmethyl)morpholine and molecular hydrogen react together in the presence of methane, ethanol, hydroxide, hydroxide, palladium(2+) to produce 2-(pyrrolidin-1-ylmethyl)morpholine.",train,0,1
"3-chloro-6-methoxypyridazine reacts in the presence of tetrabutylazanium, n,n-dimethylformamide, dichloronickel;triphenylphosphanium, bromide, zinc to produce 3-methoxy-6-(6-methoxypyridazin-3-yl)pyridazine.",train,0,1
Phosphoryl trichloride and 6-methyl-2-oxo-1h-pyridine-3-carboxylic acid react together to produce 2-chloro-6-methylpyridine-3-carboxylic acid.,train,0,1
"Methanol and 3-hydroxyimino-1-methyl-5-phenyl-1,4-benzodiazepin-2-one react together in the presence of ethanol, nickel to produce 3-amino-1-methyl-5-phenyl-3h-1,4-benzodiazepin-2-one.",train,0,1
"1-[(2,5-difluorophenyl)methyl]-7-iodo-3,4-dihydropyrido[2,3-b]pyrazin-2-one and (4-ethoxycarbonylphenyl)boronic acid react together to produce ethyl 4-[1-[(2,5-difluorophenyl)methyl]-2-oxo-3,4-dihydropyrido[2,3-b]pyrazin-7-yl]benzoate.",train,1,0
"1-(6-chloro-5-methoxypyridin-3-yl)ethanone and 2,2-difluoroethanol react together to produce 1-[6-(2,2-difluoroethoxy)-5-methoxypyridin-3-yl]ethanone.",test,0,1
"S-pyridin-2-yl (8s,9s,10r,13s,14s,17s)-3-cyano-10,13-dimethyl-2,7,8,9,11,12,14,15,16,17-decahydro-1h-cyclopenta[a]phenanthrene-17-carbothioate and bis(4-fluorophenyl)methanamine react together to produce (8s,9s,10r,13s,14s,17s)-n-[bis(4-fluorophenyl)methyl]-3-cyano-10,13-dimethyl-2,7,8,9,11,12,14,15,16,17-decahydro-1h-cyclopenta[a]phenanthrene-17-carboxamide.",train,0,1
"Moleculariodine and 1-[4-hydroxy-3-(hydroxymethyl)butyl]pyrimidine-2,4-dione react together in the presence of methanol to produce 1-[4-hydroxy-3-(hydroxymethyl)butyl]-5-iodopyrimidine-2,4-dione.",train,1,0
"2,2-dimethyl-5-[6-(4-pentoxyphenoxy)naphthalen-2-yl]-1,3-dioxan-5-amine and 2-amino-2-[6-(4-phenoxyphenoxy)naphthalen-2-yl]propane-1,3-diol react together to produce 2-amino-2-[6-(4-pentoxyphenoxy)naphthalen-2-yl]propane-1,3-diol.",train,1,0
"Methyl 2-(2-oxo-3,4-dihydroquinolin-1-yl)acetate and 3h-1,3-benzoxazol-2-one react together to produce 2-(2-oxo-1,3-benzoxazol-3-yl)acetic acid.",train,0,1
"N-[6-chloro-4-(1-pyridin-2-ylethylamino)pyridin-3-yl]-1,5-dimethyl-6-oxopyridine-3-carboxamide reacts in the presence of acetic acid to produce 5-[6-chloro-1-(1-pyridin-2-ylethyl)imidazo[4,5-c]pyridin-2-yl]-1,3-dimethylpyridin-2-one.",train,1,0
"2-chloro-1-(3,4-dihydro-2h-quinolin-1-yl)ethanone and 3-phenyl-1h-imidazole-2-thione react together to produce 1-(3,4-dihydro-2h-quinolin-1-yl)-2-(1-phenylimidazol-2-yl)sulfanylethanone.",train,1,0
"Tert-butyl 2-(5-cyano-2-oxo-1,3-dihydroindol-3-yl)-5,7-dihydropyrrolo[3,4-b]pyridine-6-carboxylate and chlorane react together in the presence of 1,4-dioxane to produce chlorane.",train,0,1
"6,7-dimethyl-3-(4-propan-2-ylphenyl)-3h-1-benzofuran-2-one reacts in the presence of hexane, ethyl acetate to produce 6-[2-hydroxy-1-(4-propan-2-ylphenyl)ethyl]-2,3-dimethylphenol.",train,1,0
"Ethyl 6-[4-[2-(trifluoromethyl)benzoyl]piperazin-1-yl]imidazo[1,2-b]pyridazine-2-carboxylate and 5-chloropyridin-2-amine react together to produce n-(5-chloropyridin-2-yl)-6-[4-[2-(trifluoromethyl)benzoyl]piperazin-1-yl]imidazo[1,2-b]pyridazine-2-carboxamide.",train,1,0
"1-chloro-2-isocyanatoethane and 2,3-dihydro-1h-inden-5-amine react together in the presence of ethoxyethane to produce 1-(2-chloroethyl)-3-(2,3-dihydro-1h-inden-5-yl)urea.",train,1,0
4-(2-phenylpropan-2-yl)benzaldehyde and methanamine react together in the presence of methanol to produce n-methyl-1-[4-(2-phenylpropan-2-yl)phenyl]methanamine.,train,1,0
"4,5-dichlorothiophene-2-sulfonyl chloride and 4-bromo-3-methyl-1,2-oxazol-5-amine react together to produce n-(4-bromo-3-methyl-1,2-oxazol-5-yl)-4,5-dichlorothiophene-2-sulfonamide.",train,1,0
2-methoxy-5-nitropyridine and 2-(methylamino)ethanol react together in the presence of oxidane to produce 2-[methyl-(5-nitropyridin-2-yl)amino]ethanol.,train,0,1
"1-o-benzyl 3-o-[(4-methoxyphenyl)methyl] 4-methyl-3-[2-[(2-methylpropan-2-yl)oxy]-2-oxoethyl]pyrrolidine-1,3-dicarboxylate reacts in the presence of hexane, ethanol to produce 1-o-benzyl 3-o-[(4-methoxyphenyl)methyl] (3r,4s)-4-methyl-3-[2-[(2-methylpropan-2-yl)oxy]-2-oxoethyl]pyrrolidine-1,3-dicarboxylate.",train,1,0
(2s)-2-[5-[4-[(4-fluorophenyl)carbamoylamino]phenyl]-3-oxo-1h-isoindol-2-yl]-3-methylbutanoic acid and methyl (2s)-2-[5-[4-[(4-cyanophenyl)carbamoylamino]phenyl]-3-oxo-1h-isoindol-2-yl]-3-methylbutanoate react together to produce (2s)-2-[5-[4-[(4-cyanophenyl)carbamoylamino]phenyl]-3-oxo-1h-isoindol-2-yl]-3-methylbutanoic acid.,train,0,1
"Tert-butyl 4-[4-(2-fluoroethoxymethyl)phenyl]piperazine-1-carboxylate and chlorane react together in the presence of 1,4-dioxane to produce chlorane.",train,0,1
"(3-fluorophenyl)boronic acid and 7-(1-azidoethyl)-6-bromo-3-(trifluoromethyl)-[1,3]thiazolo[3,2-a]pyrimidin-5-one react together to produce 7-(1-azidoethyl)-6-(3-fluorophenyl)-3-(trifluoromethyl)-[1,3]thiazolo[3,2-a]pyrimidin-5-one.",train,1,0
4-chloro-n-[3-methoxy-4-(4-methylimidazol-1-yl)phenyl]-6-methylpyrimidin-2-amine and pyridin-3-ol react together to produce n-[3-methoxy-4-(4-methylimidazol-1-yl)phenyl]-4-methyl-6-pyridin-3-yloxypyrimidin-2-amine.,train,1,0
2-bromo-6-methoxynaphthalene and (3-methoxyphenoxy)boronic acid react together to produce 2-methoxy-6-(3-methoxyphenyl)naphthalene.,train,0,1
"[5-(trifluoromethyl)-1h-pyrazol-4-yl]boronic acid and n-(5-bromo-[1,3]thiazolo[5,4-b]pyridin-2-yl)-4-(2-hydroxypropan-2-yl)benzamide react together to produce 4-(2-hydroxypropan-2-yl)-n-[5-[5-(trifluoromethyl)-1h-pyrazol-4-yl]-[1,3]thiazolo[5,4-b]pyridin-2-yl]benzamide.",train,1,0
3-(3-methoxyphenyl)prop-2-enal and aminothiourea react together to produce [3-(3-methoxyphenyl)prop-2-enylideneamino]thiourea.,train,1,0
"4-fluorobenzoyl chloride and 3-(4-fluorophenyl)-2,2,4,6,7-pentamethyl-3h-1-benzofuran-5-amine react together in the presence of hexane, ethyl acetate to produce 4-fluoro-n-[3-(4-fluorophenyl)-2,2,4,6,7-pentamethyl-3h-1-benzofuran-5-yl]benzamide.",train,0,1
"2-[[4-[3-methoxy-4-(pyridin-2-ylmethoxy)anilino]-1h-pyrazolo[3,4-d]pyrimidin-3-yl]oxy]ethyl methanesulfonate and [(2r)-pyrrolidin-2-yl]methanol react together to produce [(2r)-1-[2-[[4-[3-methoxy-4-(pyridin-2-ylmethoxy)anilino]-1h-pyrazolo[3,4-d]pyrimidin-3-yl]oxy]ethyl]pyrrolidin-2-yl]methanol.",train,1,0
"S-[2-[(1e,3e)-4-[4-(trifluoromethyl)phenyl]buta-1,3-dienyl]-1,3-dioxan-5-yl] ethanethioate and 1-[[(2r,3r)-3-methyloxiran-2-yl]methyl]-1,2,4-triazole react together to produce (2r,3r)-1-(1,2,4-triazol-1-yl)-2-[4-(trifluoromethyl)phenyl]-3-[[2-[(1e,3e)-4-[4-(trifluoromethyl)phenyl]buta-1,3-dienyl]-1,3-dioxan-5-yl]sulfanyl]butan-2-ol.",train,0,1
"2-methylpropan-2-ol and methyl (2r)-3-(1h-indol-5-yl)-2-(phenylmethoxycarbonylamino)propanoate react together in the presence of zinc to produce methyl (2r)-3-(2-oxo-1,3-dihydroindol-5-yl)-2-(phenylmethoxycarbonylamino)propanoate.",train,1,0
"2-(heptylcarbamoylamino)-n-pyridin-3-ylbenzamide reacts in the presence of acetic acid, dioxoplatinum to produce 2-(heptylcarbamoylamino)-n-piperidin-3-ylbenzamide.",train,0,1
"Tert-butyl n-(4-chlorophenyl)carbamate and 2,4-difluorobenzoyl chloride react together to produce (2-amino-5-chlorophenyl)-(2,4-difluorophenyl)methanone.",train,1,0
"5-[2-[2-(1-benzofuran-3-yl)prop-2-enoxy]phenyl]-1h-imidazole reacts in the presence of methanol, palladium to produce 5-[2-[2-(1-benzofuran-3-yl)propoxy]phenyl]-1h-imidazole.",train,0,1
"(2-amino-5-chlorophenyl)-(2-methylphenyl)methanone and 6-chloro-2-phenyl-3,1-benzoxazin-4-one react together to produce (2-amino-5-chlorophenyl)-(3-methoxyphenyl)methanone.",train,1,0
"Furan-2-sulfonyl chloride and 3-[5-(2-chloropyrimidin-4-yl)-2-morpholin-4-yl-1,3-thiazol-4-yl]-2-fluoroaniline react together to produce n-[3-[5-(2-chloropyrimidin-4-yl)-2-morpholin-4-yl-1,3-thiazol-4-yl]-2-fluorophenyl]furan-2-sulfonamide.",train,1,0
"1-methyl-3,1-benzoxazine-2,4-dione and 6-chloro-1,2-dihydroindazol-3-one react together to produce 6-chloro-1-[2-(methylamino)benzoyl]-2h-indazol-3-one.",train,1,0
"2-(4-cyanophenyl)acetic acid and 2-(4-aminophenyl)acetic acid react together in the presence of chlorane, platinum to produce 2-[4-(aminomethyl)cyclohexyl]acetic acid.",train,1,0
