smiles,split,high_yielding,not_high_yielding
O=C(Nc1ccc(Br)c(F)c1[N+](=O)[O-])C(F)(F)F.O=C([O-])[O-]>CCOC(C)=O.CI.CN(C)C=O.O.O=C([O-])[O-].[Cs+].[K+]>CNc1ccc(Br)c(OC)c1[N+](=O)[O-],train,1,0
C#C.C[Si](C)(C)CCCCCCO>CS(C)=O.[K+].[OH-]>C=COCCCCCC[Si](C)(C)C,train,1,0
CC1COC(=O)N1.CCCCCI>C1CCOC1.CCCCCC.O=S(=O)(O)O.[H-].[Na+]>CCCCCN1C(=O)OCC1C,train,1,0
CCOC(=O)C(Cl)(Cl)C#N.CCOC(=O)CC#N>C=CC=O.CCOC(C)=O.O=C([O-])[O-].[K+]>CCOC(=O)C(Cl)(C#N)CCC=O,train,1,0
CCI.CCNc1ccc(Br)cc1C(C)(C)C>CS(C)=O.[Cl-].[H-].[NH4+].[Na+]>CCN(CC)c1ccc(Br)cc1C(C)(C)C,train,0,1
C=C(CBr)C(=O)OCC.COC(=O)CC(=O)OCc1ccccc1>CC#N.[H-].[Na+]>C=C(CC(C(=O)OC)C(=O)OCc1ccccc1)C(=O)OCC,train,0,1
C=CCOC(=O)CBr.CC(=O)CS(=O)(=O)c1ccccc1>C1CCOC1.ClC(Cl)Cl.[Cl-].[H-].[NH4+].[Na+]>C=CCOC(=O)CC(C(C)=O)S(=O)(=O)c1ccccc1,train,1,0
CC(=O)CC(C)=O.O=C(CBr)OCc1ccccc1>[H-].[Na+]>CC(=O)C(CC(=O)OCc1ccccc1)C(C)=O,train,0,1
C#C.CO[Si](C)(CCCO)OC>CS(C)=O.[K+].[OH-]>C=COCCC[Si](C)(OC)OC,train,1,0
C/C(=C\c1ccc(C)cc1)CO.CC(C)(C)[O-]>C1CCOC1.C=CCBr.CCCC[N+](CCCC)(CCCC)CCCC.[I-].[K+]>C=CCOC/C(C)=C/c1ccc(C)cc1,train,1,0
COC(=O)C1(CI)CCCCC1.COC(=O)C1(CSC(C)=O)CCOCC1>>COC(=O)C1(CSC(C)=O)CCCCC1,train,1,0
C=CCI.CC(C)(C)OC(=O)NC1CC=CCC1>C1CCCCC1.CCOC(C)=O>C=CCN(C(=O)OC(C)(C)C)C1CC=CCC1,train,0,1
CC(=O)Nc1cc(OC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F)nn1-c1cc(SCC(F)(F)F)c(C)cc1F>CCOC(C)=O.CI.CN(C)C=O.O.[H-].[Na+]>CNc1cc(OC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F)nn1-c1cc(SCC(F)(F)F)c(C)cc1F,train,0,1
COC(=O)CC(C(C)=O)C(C)=O.NNc1ccccc1>CC(=O)CC(C)=O.CC(=O)OCc1c2ccccc2c(COC(C)=O)c2ccccc12.CCO.CN(C)C=O.COC(=O)CBr.[H-].[H][H].[Na+]>COC(=O)Cc1c(C)nn(-c2ccccc2)c1C,train,0,1
CC(C)(C)OC(=O)NCCCBr.Cn1ncc(NC=O)c1NC(c1ccccc1)(c1ccccc1)c1ccccc1>CN(C)C=O.O=S(=O)([O-])O.[H-].[I-].[K+].[Na+]>Cn1ncc(N(C=O)CCCNC(=O)OC(C)(C)C)c1NC(c1ccccc1)(c1ccccc1)c1ccccc1,train,0,1
CCOC(=O)CC#N.ClCCOCCCl>CN(C)C=O.[H-].[Na+]>CCOC(=O)C1(C#N)CCOCC1,train,0,1
CC1CCc2ccccc2C1=O.CCOC(=O)CCCCCBr>C1CCOC1.[H-].[Na+]>CC1(CCCCCC(=O)O)CCc2ccccc2C1=O,train,0,1
CC(C)(C)OC(=O)C1SCCCS1.COCCBr>CN(C)C=O.Cc1ccccc1.[Cl-].[H-].[NH4+].[Na+]>COCCC1(C(=O)OC(C)(C)C)SCCCS1,train,1,0
CCCCSCCO.O=C1CCCCCN1CCCCCBr>CS(C)=O.[K+].[OH-]>CCCCSCCOCCCCCN1CCCCCC1=O,train,1,0
