reaction,split,not_high_yielding,high_yielding
"N-(4-bromo-3-fluoro-2-nitrophenyl)-2,2,2-trifluoroacetamide and carbonate react together in the presence of ethyl acetate, iodomethane, n,n-dimethylformamide, oxidane, carbonate, cesium(1+), potassium(1+) to produce 4-bromo-3-methoxy-n-methyl-2-nitroaniline.",train,0,1
"Acetylene and 6-trimethylsilylhexan-1-ol react together in the presence of methylsulfinylmethane, potassium(1+), hydroxide to produce 6-ethenoxyhexyl(trimethyl)silane.",train,0,1
"4-methyl-1,3-oxazolidin-2-one and 1-iodopentane react together in the presence of oxolane, hexane, sulfuric acid, hydride, sodium(1+) to produce 4-methyl-3-pentyl-1,3-oxazolidin-2-one.",train,0,1
"Ethyl 2,2-dichloro-2-cyanoacetate and ethyl 2-cyanoacetate react together in the presence of prop-2-enal, ethyl acetate, carbonate, potassium(1+) to produce ethyl 2-chloro-2-cyano-5-oxopentanoate.",train,0,1
"Iodoethane and 4-bromo-2-tert-butyl-n-ethylaniline react together in the presence of methylsulfinylmethane, chloride, hydride, azanium, sodium(1+) to produce 4-bromo-2-tert-butyl-n,n-diethylaniline.",train,1,0
"Ethyl 2-(bromomethyl)prop-2-enoate and 3-o-benzyl 1-o-methyl propanedioate react together in the presence of acetonitrile, hydride, sodium(1+) to produce 1-o-benzyl 3-o-ethyl 1-o-methyl but-3-ene-1,1,3-tricarboxylate.",train,1,0
"Prop-2-enyl 2-bromoacetate and 1-(benzenesulfonyl)propan-2-one react together in the presence of oxolane, chloroform, chloride, hydride, azanium, sodium(1+) to produce prop-2-enyl 3-(benzenesulfonyl)-4-oxopentanoate.",train,0,1
"Pentane-2,4-dione and benzyl 2-bromoacetate react together in the presence of hydride, sodium(1+) to produce benzyl 3-acetyl-4-oxopentanoate.",train,1,0
"Acetylene and 3-[dimethoxy(methyl)silyl]propan-1-ol react together in the presence of methylsulfinylmethane, potassium(1+), hydroxide to produce 3-ethenoxypropyl-dimethoxy-methylsilane.",train,0,1
"(e)-2-methyl-3-(4-methylphenyl)prop-2-en-1-ol and 2-methylpropan-2-olate react together in the presence of oxolane, 3-bromoprop-1-ene, tetrabutylazanium, iodide, potassium(1+) to produce 1-methyl-4-[(e)-2-methyl-3-prop-2-enoxyprop-1-enyl]benzene.",train,0,1
Methyl 1-(iodomethyl)cyclohexane-1-carboxylate and methyl 4-(acetylsulfanylmethyl)oxane-4-carboxylate react together to produce methyl 1-(acetylsulfanylmethyl)cyclohexane-1-carboxylate.,train,0,1
"3-iodoprop-1-ene and tert-butyl n-cyclohex-3-en-1-ylcarbamate react together in the presence of cyclohexane, ethyl acetate to produce tert-butyl n-cyclohex-3-en-1-yl-n-prop-2-enylcarbamate.",train,1,0
