reaction,split,high_yielding,not_high_yielding
CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C1CCC(=O)N1O>C(=NC1CCCCC1)=NC1CCCCC1.C1CCOC1.O>CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)ON1C(=O)CCC1=O,train,1,0
C1CCNCC1.CC(C)(C)OC(=O)n1nc(I)c2sc(COS(C)(=O)=O)cc21>CCN(CC)CC.ClCCl>CC(C)(C)OC(=O)n1nc(I)c2sc(CN3CCCCC3)cc21,train,0,1
CC(=O)OC(C(=O)c1ccc(F)c2ccccc12)C(C)C.N#CN>CC(C)C(=O)C(O)c1ccc(F)c2ccccc12.CC(C)C(O)C(=O)c1ccc(F)c2ccccc12.CCO.Cl>CC(C)c1nc(N)oc1-c1ccc(F)c2ccccc12,train,0,1
COc1ccc(C2CCc3cc(OC(=O)C(C)(C)C)ccc3C2)c(NCC(=O)c2ccc(O)c(F)c2)c1.O=C(CCl)NC1CC1>>COc1ccc(C2CCc3cc(O)ccc3C2)c(NCCc2ccc(OCCNC3CC3)c(F)c2)c1,train,0,1
COc1cc(F)ccc1-c1ccc2c(c1CO)NC(=O)C(C)(C)N2.CS(=O)(=O)Cl>C1CCOC1.CCN(CC)CC.CCOC(C)=O.ClCCl.O>COc1cc(F)ccc1-c1ccc2c(c1CCl)NC(=O)C(C)(C)N2,train,0,1
O=C(c1ccccc1)c1cn2cc(C(F)(F)F)ccc2n1>Br.CCO>O=C(c1ccccc1)c1cn2cc(C(F)(F)F)ccc2n1,train,1,0
N[C@H]1CC[C@H](O)CC1.O=C1N(c2ccccc2Cl)Cc2cnc(S(=O)(=O)Cc3ccccc3)nc2N1CC(F)(F)F>CN1CCCC1=O>O=C1N(c2ccccc2Cl)Cc2cnc(N[C@H]3CC[C@H](O)CC3)nc2N1CC(F)(F)F,train,0,1
C[S-].N#Cc1ccc(S(F)(F)(F)(F)F)cc1[N+](=O)[O-]>CC(C)=O.[Na+]>CSc1cc(S(F)(F)(F)(F)F)ccc1C#N,train,0,1
O=C(O)c1ccccc1Br>C1CCOC1.CCCCCC.CCOCC.FB(F)F.[BH4-].[Na+]>OCc1ccccc1Br,train,1,0
Cc1cc(N2CCN(Cc3ccc(F)cc3)C2=O)sc1C(=O)O.Cc1ccsc1CN>Cc1cc(N2CCN(CCOc3ccccc3)C2=O)sc1C(=O)O>Cc1ccsc1CNC(=O)c1sc(N2CCN(Cc3ccc(F)cc3)C2=O)cc1C,train,1,0
CC(C)c1cccc(B(O)O)c1.CCCCOC(=O)NCC1CCN(c2c(NC(=O)c3nc(Br)sc3NC(=O)OC(C)(C)C)cnn2C)CC1>>CC(C)c1ccccc1-c1nc(C(=O)Nc2cnn(C)c2N2CCC(CN)CC2)c(N)s1,train,0,1
CC(CC(=O)c1ccccc1)C(=O)O.NN>CCO.O>CC1CC(c2ccccc2)=NNC1=O,train,1,0
CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1cc2ccc(C(=O)O)cc2s1.CNC>CN(C)c1ccncc1.Cl.ClCCCl>CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1cc2ccc(C(=O)N(C)C)cc2s1,train,1,0
N#Cc1ccc(C(=O)CBr)cc1.O>CS(C)=O>N#Cc1ccc(C(=O)C=O)cc1,train,0,1
CCc1cc(C)c2c(c1)[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H]1N(CCO)C2=O.Oc1ccccc1>CCOC(=O)/N=N/C(=O)OCC.Cc1ccccc1.Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1>CCc1cc(C)c2c(c1)[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H]1N(CCOc1ccccc1)C2=O,train,0,1
C/C=C\C.Nc1ccccc1>Cc1ccccc1>C1=CCN(c2ccccc2)C1,train,1,0
NN.O=C(Cl)c1c(F)ccc(F)c1F>CCO.CO.ClCCl.O>NNC(=O)c1c(F)ccc(F)c1F,train,0,1
CCOC(C)(OCC)OCC.N#Cc1ccc([N+](=O)[O-])c(N)c1O>Cc1ccc(S(=O)(=O)[O-])cc1.Cc1ccccc1C.c1cc[nH+]cc1>Cc1nc2c([N+](=O)[O-])ccc(C#N)c2o1,train,1,0
Brc1cccc(-c2ccncc2)n1.CCCC[Sn](CCCC)(CCCC)c1cnc2nc(C(F)(F)F)ccn12>>FC(F)(F)c1ccn2c(-c3cccc(-c4ccncc4)n3)cnc2n1,train,0,1
