provider	engine	sampler	n_for_train	seed	accuracy	precision	recall	f1
anthropic	claude-3-haiku-20240307	tanimoto	2	36	0.54	0.5274725274725275	0.9411764705882352	0.676056338028169
anthropic	claude-3-haiku-20240307	tanimoto	4	12345	0.56	0.5368421052631579	1.0	0.6986301369863014
anthropic	claude-3-haiku-20240307	tanimoto	6	36	0.54	0.5287356321839081	0.9019607843137256	0.6666666666666666
anthropic	claude-3-haiku-20240307	tanimoto	6	42	0.51	0.5125	0.803921568627451	0.6259541984732825
anthropic	claude-3-haiku-20240307	tanimoto	6	84	0.51	0.52	0.5098039215686274	0.5148514851485149
anthropic	claude-3-haiku-20240307	tanimoto	6	200	0.52	0.5154639175257731	0.9803921568627452	0.6756756756756757
anthropic	claude-3-haiku-20240307	tanimoto	6	12345	0.53	0.5238095238095238	0.8627450980392157	0.6518518518518519
anthropic	claude-3-haiku-20240307	tanimoto	8	36	0.55	0.5681818181818182	0.4901960784313725	0.5263157894736842
anthropic	claude-3-haiku-20240307	tanimoto	8	42	0.51	0.5104166666666666	0.9607843137254902	0.6666666666666666
anthropic	claude-3-haiku-20240307	tanimoto	8	84	0.52	0.5164835164835165	0.9215686274509804	0.6619718309859155
anthropic	claude-3-haiku-20240307	tanimoto	8	200	0.6	0.5932203389830508	0.6862745098039216	0.6363636363636364
anthropic	claude-3-haiku-20240307	tanimoto	2	42	0.5	0.5052631578947369	0.9411764705882352	0.6575342465753424
anthropic	claude-3-haiku-20240307	tanimoto	8	12345	0.57	0.5487804878048781	0.8823529411764706	0.6766917293233082
anthropic	claude-3-haiku-20240307	tanimoto	10	36	0.57	0.6176470588235294	0.4117647058823529	0.4941176470588235
anthropic	claude-3-haiku-20240307	tanimoto	10	42	0.49	0.5	0.7843137254901961	0.6106870229007634
anthropic	claude-3-haiku-20240307	tanimoto	10	84	0.57	0.5444444444444444	0.9607843137254902	0.6950354609929078
anthropic	claude-3-haiku-20240307	tanimoto	10	200	0.55	0.5333333333333333	0.9411764705882352	0.6808510638297872
