provider,engine,sampler,n_for_train,seed,dataset,accuracy,precision,recall,f1
anthropic,claude-3-haiku-20240307,random,2,36,data/USPTO_R_text.csv,0.52,0.5151515151515151,1.0,0.68
anthropic,claude-3-haiku-20240307,random,4,12345,data/USPTO_R_text.csv,0.56,0.5777777777777777,0.5098039215686274,0.5416666666666666
anthropic,claude-3-haiku-20240307,random,2,42,data/USPTO_R_text.csv,0.52,0.5151515151515151,1.0,0.68
anthropic,claude-3-haiku-20240307,random,2,84,data/USPTO_R_text.csv,0.52,0.5151515151515151,1.0,0.68
anthropic,claude-3-haiku-20240307,random,2,200,data/USPTO_R_text.csv,0.52,0.5151515151515151,1.0,0.68
anthropic,claude-3-haiku-20240307,random,2,12345,data/USPTO_R_text.csv,0.52,0.5151515151515151,1.0,0.68
anthropic,claude-3-haiku-20240307,random,4,36,data/USPTO_R_text.csv,0.58,0.576271186440678,0.6666666666666666,0.6181818181818182
anthropic,claude-3-haiku-20240307,random,4,42,data/USPTO_R_text.csv,0.55,0.5517241379310345,0.6274509803921569,0.5871559633027523
anthropic,claude-3-haiku-20240307,random,4,84,data/USPTO_R_text.csv,0.55,0.5576923076923077,0.5686274509803921,0.5631067961165048
anthropic,claude-3-haiku-20240307,random,4,200,data/USPTO_R_text.csv,0.59,0.5806451612903226,0.7058823529411765,0.6371681415929203
anthropic,claude-3-opus-20240229,random,2,36,data/USPTO_R_text.csv,0.48,0.4943820224719101,0.8627450980392157,0.6285714285714286
anthropic,claude-3-opus-20240229,random,4,12345,data/USPTO_R_text.csv,0.58,0.5789473684210527,0.6470588235294118,0.6111111111111112
anthropic,claude-3-opus-20240229,random,2,42,data/USPTO_R_text.csv,0.48,0.4943820224719101,0.8627450980392157,0.6285714285714286
anthropic,claude-3-opus-20240229,random,2,84,data/USPTO_R_text.csv,0.48,0.4943820224719101,0.8627450980392157,0.6285714285714286
anthropic,claude-3-opus-20240229,random,6,36,data/USPTO_R_text.csv,0.51,0.52,0.5098039215686274,0.5148514851485149
anthropic,claude-3-opus-20240229,random,6,42,data/USPTO_R_text.csv,0.5,0.5050505050505051,0.9803921568627452,0.6666666666666666
anthropic,claude-3-opus-20240229,random,6,84,data/USPTO_R_text.csv,0.53,0.5238095238095238,0.8627450980392157,0.6518518518518519
anthropic,claude-3-opus-20240229,random,6,200,data/USPTO_R_text.csv,0.56,0.5384615384615384,0.9607843137254902,0.6901408450704225
anthropic,claude-3-opus-20240229,random,6,12345,data/USPTO_R_text.csv,0.55,0.532608695652174,0.9607843137254902,0.6853146853146853
anthropic,claude-3-opus-20240229,random,8,36,data/USPTO_R_text.csv,0.54,0.5454545454545454,0.5882352941176471,0.5660377358490566
anthropic,claude-3-opus-20240229,random,8,42,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
anthropic,claude-3-opus-20240229,random,8,84,data/USPTO_R_text.csv,0.5,0.5050505050505051,0.9803921568627452,0.6666666666666666
anthropic,claude-3-opus-20240229,random,8,200,data/USPTO_R_text.csv,0.54,0.5675675675675675,0.4117647058823529,0.4772727272727273
anthropic,claude-3-opus-20240229,random,2,200,data/USPTO_R_text.csv,0.48,0.4943820224719101,0.8627450980392157,0.6285714285714286
anthropic,claude-3-opus-20240229,random,8,12345,data/USPTO_R_text.csv,0.54,0.5268817204301075,0.9607843137254902,0.6805555555555556
