provider,engine,sampler,n_for_train,seed,dataset,accuracy,precision,recall,f1
mistral,mistral-small-latest,random,6,36,data/USPTO_R_5450.csv,0.55,0.5384615384615384,0.8235294117647058,0.6511627906976745
mistral,mistral-small-latest,random,6,12345,data/USPTO_R_2725.csv,0.64,0.6666666666666666,0.5882352941176471,0.625
mistral,mistral-small-latest,random,6,36,data/USPTO_R_1362.csv,0.6,0.6078431372549019,0.6078431372549019,0.6078431372549019
mistral,mistral-small-latest,random,6,42,data/USPTO_R_1362.csv,0.65,0.6379310344827587,0.7254901960784313,0.6788990825688074
mistral,mistral-small-latest,random,6,84,data/USPTO_R_1362.csv,0.56,0.5454545454545454,0.8235294117647058,0.65625
mistral,mistral-small-latest,random,6,200,data/USPTO_R_1362.csv,0.58,0.5957446808510638,0.5490196078431373,0.5714285714285714
mistral,mistral-small-latest,random,6,12345,data/USPTO_R_1362.csv,0.58,0.5789473684210527,0.6470588235294118,0.6111111111111112
mistral,mistral-small-latest,random,6,36,data/USPTO_R_681.csv,0.57,0.5714285714285714,0.6274509803921569,0.5981308411214953
mistral,mistral-small-latest,random,6,42,data/USPTO_R_681.csv,0.56,0.5492957746478874,0.7647058823529411,0.639344262295082
mistral,mistral-small-latest,random,6,84,data/USPTO_R_681.csv,0.51,0.5116279069767442,0.8627450980392157,0.6423357664233577
mistral,mistral-small-latest,random,6,200,data/USPTO_R_681.csv,0.57,0.5769230769230769,0.5882352941176471,0.5825242718446602
mistral,mistral-small-latest,random,6,42,data/USPTO_R_5450.csv,0.63,0.6458333333333334,0.6078431372549019,0.6262626262626263
mistral,mistral-small-latest,random,6,12345,data/USPTO_R_681.csv,0.52,0.5272727272727272,0.5686274509803921,0.5471698113207547
mistral,mistral-small-latest,random,6,84,data/USPTO_R_5450.csv,0.56,0.5538461538461539,0.7058823529411765,0.6206896551724138
mistral,mistral-small-latest,random,6,200,data/USPTO_R_5450.csv,0.55,0.5405405405405406,0.7843137254901961,0.64
mistral,mistral-small-latest,random,6,12345,data/USPTO_R_5450.csv,0.56,0.5573770491803278,0.6666666666666666,0.6071428571428571
mistral,mistral-small-latest,random,6,36,data/USPTO_R_2725.csv,0.61,0.6304347826086957,0.5686274509803921,0.5979381443298969
mistral,mistral-small-latest,random,6,42,data/USPTO_R_2725.csv,0.6,0.6122448979591837,0.5882352941176471,0.6
mistral,mistral-small-latest,random,6,84,data/USPTO_R_2725.csv,0.59,0.578125,0.7254901960784313,0.6434782608695652
mistral,mistral-small-latest,random,6,200,data/USPTO_R_2725.csv,0.62,0.6065573770491803,0.7254901960784313,0.6607142857142857
mistral,mistral-small-latest,random,6,36,data/USPTO_R_text.csv,0.59,0.6136363636363636,0.5294117647058824,0.5684210526315789
mistral,mistral-small-latest,random,6,42,data/USPTO_R_text.csv,0.63,0.625,0.6862745098039216,0.6542056074766355
mistral,mistral-small-latest,random,6,84,data/USPTO_R_text.csv,0.6,0.6037735849056604,0.6274509803921569,0.6153846153846154
mistral,mistral-small-latest,random,6,200,data/USPTO_R_text.csv,0.59,0.5735294117647058,0.7647058823529411,0.6554621848739496
mistral,mistral-small-latest,random,6,12345,data/USPTO_R_text.csv,0.62,0.5970149253731343,0.7843137254901961,0.6779661016949152
